frame,timestamp,stroke,confidence
194,6.466666666666667,Forehand,0.5
195,6.5,Neutral,0.5
196,6.533333333333333,Neutral,0.48
197,6.566666666666666,Neutral,0.51
198,6.6,Neutral,0.53
199,6.633333333333334,Neutral,0.51
200,6.666666666666667,Neutral,0.47
201,6.7,Neutral,0.4
202,6.733333333333333,Neutral,0.51
203,6.766666666666667,Forehand,0.52
204,6.8,Forehand,0.48
205,6.833333333333333,Neutral,0.49
206,6.866666666666666,Forehand,0.51
207,6.9,Neutral,0.49
208,6.933333333333334,Forehand,0.49
209,6.966666666666667,Forehand,0.5
210,7.0,Neutral,0.53
211,7.033333333333333,Neutral,0.49
212,7.066666666666666,Neutral,0.43
213,7.1,Neutral,0.41
214,7.133333333333334,Neutral,0.52
215,7.166666666666667,Forehand,0.43
216,7.2,Neutral,0.53
217,7.233333333333333,Neutral,0.55
218,7.266666666666667,Neutral,0.54
219,7.3,Neutral,0.57
220,7.333333333333333,Neutral,0.58
221,7.366666666666666,Neutral,0.63
222,7.4,Neutral,0.54
223,7.433333333333334,Neutral,0.52
224,7.466666666666667,Neutral,0.54
225,7.5,Neutral,0.43
226,7.533333333333333,Neutral,0.47
227,7.566666666666666,Neutral,0.5
228,7.6,Forehand,0.46
229,7.633333333333334,Neutral,0.53
230,7.666666666666667,Neutral,0.57
231,7.7,Neutral,0.53
232,7.733333333333333,Neutral,0.53
233,7.766666666666667,Neutral,0.57
234,7.8,Neutral,0.5
235,7.833333333333333,Neutral,0.51
236,7.866666666666666,Neutral,0.51
237,7.9,Neutral,0.52
238,7.933333333333334,Neutral,0.5
239,7.966666666666667,Neutral,0.5
240,8.0,Neutral,0.55
241,8.033333333333333,Neutral,0.71
242,8.066666666666666,Neutral,0.54
243,8.1,Neutral,0.51
244,8.133333333333333,Neutral,0.52
245,8.166666666666666,Neutral,0.53
246,8.2,Neutral,0.53
247,8.233333333333333,Neutral,0.59
248,8.266666666666667,Neutral,0.62
249,8.3,Neutral,0.68
250,8.333333333333334,Neutral,0.71
251,8.366666666666667,Neutral,0.69
252,8.4,Neutral,0.72
253,8.433333333333334,Neutral,0.56
254,8.466666666666667,Forehand,0.44
255,8.5,Neutral,0.43
256,8.533333333333333,Neutral,0.38
257,8.566666666666666,Neutral,0.38
258,8.6,Neutral,0.44
259,8.633333333333333,Neutral,0.37
260,8.666666666666666,Forehand,0.37
261,8.7,Forehand,0.37
262,8.733333333333333,Forehand,0.39
263,8.766666666666667,Forehand,0.38
264,8.8,Forehand,0.39
265,8.833333333333334,Forehand,0.4
266,8.866666666666667,Neutral,0.49
267,8.9,Neutral,0.52
268,8.933333333333334,Neutral,0.44
269,8.966666666666667,Neutral,0.51
270,9.0,Forehand,0.37
271,9.033333333333333,Neutral,0.39
272,9.066666666666666,Forehand,0.39
273,9.1,Forehand,0.4
274,9.133333333333333,Forehand,0.4
275,9.166666666666666,Neutral,0.48
276,9.2,Neutral,0.58
277,9.233333333333333,Neutral,0.56
278,9.266666666666667,Neutral,0.46
279,9.3,Neutral,0.44
280,9.333333333333334,Neutral,0.49
281,9.366666666666667,Neutral,0.38
282,9.4,Neutral,0.4
283,9.433333333333334,Neutral,0.37
284,9.466666666666667,Forehand,0.4
285,9.5,Forehand,0.44
286,9.533333333333333,Forehand,0.4
287,9.566666666666666,Forehand,0.39
288,9.6,Forehand,0.36
289,9.633333333333333,Forehand,0.38
290,9.666666666666666,Forehand,0.35
291,9.7,Forehand,0.33
292,9.733333333333333,Forehand,0.36
293,9.766666666666667,Forehand,0.37
294,9.8,Forehand,0.37
295,9.833333333333334,Forehand,0.37
296,9.866666666666667,Forehand,0.38
297,9.9,Forehand,0.36
298,9.933333333333334,Forehand,0.4
299,9.966666666666667,Forehand,0.4
300,10.0,Neutral,0.33
301,10.033333333333333,Forehand,0.37
302,10.066666666666666,Forehand,0.39
303,10.1,Neutral,0.4
304,10.133333333333333,Neutral,0.45
305,10.166666666666666,Neutral,0.51
306,10.2,Neutral,0.46
307,10.233333333333333,Neutral,0.49
308,10.266666666666667,Neutral,0.47
309,10.3,Neutral,0.45
310,10.333333333333334,Neutral,0.45
311,10.366666666666667,Neutral,0.45
312,10.4,Neutral,0.43
313,10.433333333333334,Neutral,0.46
314,10.466666666666667,Neutral,0.48
315,10.5,Neutral,0.44
316,10.533333333333333,Neutral,0.47
317,10.566666666666666,Neutral,0.45
318,10.6,Neutral,0.46
319,10.633333333333333,Neutral,0.44
320,10.666666666666666,Neutral,0.47
321,10.7,Neutral,0.51
322,10.733333333333333,Neutral,0.46
323,10.766666666666667,Neutral,0.46
324,10.8,Neutral,0.49
325,10.833333333333334,Neutral,0.51
326,10.866666666666667,Neutral,0.49
327,10.9,Forehand,0.52
328,10.933333333333334,Forehand,0.53
329,10.966666666666667,Forehand,0.51
330,11.0,Forehand,0.53
331,11.033333333333333,Forehand,0.44
332,11.066666666666666,Neutral,0.46
333,11.1,Neutral,0.43
334,11.133333333333333,Neutral,0.4
335,11.166666666666666,Neutral,0.43
336,11.2,Forehand,0.39
337,11.233333333333333,Forehand,0.39
338,11.266666666666667,Forehand,0.39
339,11.3,Neutral,0.44
340,11.333333333333334,Neutral,0.49
341,11.366666666666667,Neutral,0.49
342,11.4,Neutral,0.49
343,11.433333333333334,Neutral,0.5
344,11.466666666666667,Neutral,0.52
345,11.5,Neutral,0.55
346,11.533333333333333,Neutral,0.77
347,11.566666666666666,Neutral,0.85
348,11.6,Neutral,0.74
349,11.633333333333333,Neutral,0.73
350,11.666666666666666,Neutral,0.79
351,11.7,Neutral,0.63
352,11.733333333333333,Neutral,0.58
353,11.766666666666667,Neutral,0.48
354,11.8,Neutral,0.45
355,11.833333333333334,Neutral,0.58
356,11.866666666666667,Forehand,0.47
357,11.9,Forehand,0.47
358,11.933333333333334,Forehand,0.49
359,11.966666666666667,Forehand,0.51
360,12.0,Forehand,0.54
361,12.033333333333333,Neutral,0.56
362,12.066666666666666,Neutral,0.4
363,12.1,Neutral,0.44
364,12.133333333333333,Neutral,0.46
365,12.166666666666666,Forehand,0.47
366,12.2,Forehand,0.4
367,12.233333333333333,Forehand,0.44
368,12.266666666666667,Forehand,0.45
369,12.3,Neutral,0.51
370,12.333333333333334,Neutral,0.46
371,12.366666666666667,Neutral,0.44
372,12.4,Neutral,0.45
373,12.433333333333334,Neutral,0.53
374,12.466666666666667,Forehand,0.49
375,12.5,Neutral,0.5
376,12.533333333333333,Neutral,0.53
377,12.566666666666666,Neutral,0.52
378,12.6,Forehand,0.51
379,12.633333333333333,Neutral,0.49
380,12.666666666666666,Neutral,0.55
381,12.7,Neutral,0.54
382,12.733333333333333,Forehand,0.51
383,12.766666666666667,Neutral,0.51
384,12.8,Neutral,0.51
385,12.833333333333334,Neutral,0.47
386,12.866666666666667,Neutral,0.49
387,12.9,Neutral,0.58
388,12.933333333333334,Neutral,0.56
389,12.966666666666667,Neutral,0.59
390,13.0,Forehand,0.52
391,13.033333333333333,Neutral,0.53
392,13.066666666666666,Neutral,0.48
393,13.1,Neutral,0.48
394,13.133333333333333,Neutral,0.51
395,13.166666666666666,Neutral,0.53
396,13.2,Neutral,0.62
397,13.233333333333333,Neutral,0.55
398,13.266666666666667,Neutral,0.56
399,13.3,Neutral,0.48
400,13.333333333333334,Neutral,0.48
401,13.366666666666667,Neutral,0.49
402,13.4,Neutral,0.48
403,13.433333333333334,Neutral,0.5
404,13.466666666666667,Neutral,0.51
405,13.5,Neutral,0.51
406,13.533333333333333,Neutral,0.47
407,13.566666666666666,Neutral,0.48
408,13.6,Neutral,0.46
409,13.633333333333333,Neutral,0.55
410,13.666666666666666,Neutral,0.53
411,13.7,Neutral,0.58
412,13.733333333333333,Neutral,0.6
413,13.766666666666667,Neutral,0.6
414,13.8,Neutral,0.6
415,13.833333333333334,Neutral,0.54
416,13.866666666666667,Neutral,0.55
417,13.9,Neutral,0.51
418,13.933333333333334,Neutral,0.48
419,13.966666666666667,Neutral,0.46
420,14.0,Neutral,0.52
421,14.033333333333333,Neutral,0.5
422,14.066666666666666,Neutral,0.57
423,14.1,Neutral,0.59
424,14.133333333333333,Neutral,0.51
425,14.166666666666666,Neutral,0.49
426,14.2,Neutral,0.5
427,14.233333333333333,Neutral,0.52
428,14.266666666666667,Neutral,0.51
429,14.3,Neutral,0.47
430,14.333333333333334,Neutral,0.46
431,14.366666666666667,Neutral,0.43
432,14.4,Neutral,0.51
433,14.433333333333334,Neutral,0.49
434,14.466666666666667,Neutral,0.53
435,14.5,Neutral,0.52
436,14.533333333333333,Neutral,0.52
437,14.566666666666666,Neutral,0.52
438,14.6,Neutral,0.54
439,14.633333333333333,Neutral,0.62
440,14.666666666666666,Neutral,0.52
441,14.7,Neutral,0.56
442,14.733333333333333,Neutral,0.51
443,14.766666666666667,Neutral,0.53
444,14.8,Neutral,0.51
445,14.833333333333334,Neutral,0.53
446,14.866666666666667,Neutral,0.53
447,14.9,Neutral,0.46
448,14.933333333333334,Neutral,0.5
449,14.966666666666667,Neutral,0.55
450,15.0,Neutral,0.54
451,15.033333333333333,Neutral,0.57
452,15.066666666666666,Neutral,0.51
453,15.1,Neutral,0.53
454,15.133333333333333,Neutral,0.52
455,15.166666666666666,Neutral,0.52
456,15.2,Neutral,0.54
457,15.233333333333333,Neutral,0.53
458,15.266666666666667,Neutral,0.54
459,15.3,Neutral,0.47
