frame,timestamp,stroke,confidence
156,5.2,Neutral,0.94
157,5.233333333333333,Neutral,0.96
158,5.266666666666667,Neutral,0.99
159,5.3,Neutral,0.99
160,5.333333333333333,Neutral,0.98
161,5.366666666666666,Neutral,0.98
162,5.4,Neutral,0.97
163,5.433333333333334,Neutral,0.99
164,5.466666666666667,Neutral,0.98
165,5.5,Neutral,0.99
166,5.533333333333333,Neutral,0.98
167,5.566666666666666,Neutral,0.99
168,5.6,Neutral,0.98
169,5.633333333333334,Neutral,0.98
170,5.666666666666667,Neutral,0.95
171,5.7,Neutral,0.96
172,5.733333333333333,Neutral,0.95
173,5.766666666666667,Neutral,0.96
174,5.8,Neutral,0.98
175,5.833333333333333,Neutral,0.97
176,5.866666666666666,Neutral,0.89
177,5.9,Neutral,0.9
178,5.933333333333334,Neutral,0.96
179,5.966666666666667,Neutral,0.97
180,6.0,Neutral,0.96
181,6.033333333333333,Neutral,0.93
182,6.066666666666666,Neutral,0.76
183,6.1,Neutral,0.95
184,6.133333333333334,Neutral,0.89
185,6.166666666666667,Neutral,0.7
186,6.2,Neutral,0.84
187,6.233333333333333,Neutral,0.68
188,6.266666666666667,Neutral,0.84
189,6.3,Neutral,0.86
190,6.333333333333333,Neutral,0.95
191,6.366666666666666,Neutral,0.85
192,6.4,Neutral,0.76
193,6.433333333333334,Neutral,0.71
194,6.466666666666667,Neutral,0.92
195,6.5,Neutral,0.94
196,6.533333333333333,Neutral,0.9
197,6.566666666666666,Neutral,0.83
198,6.6,Forehand,0.5
199,6.633333333333334,Forehand,0.8
200,6.666666666666667,Forehand,0.9
201,6.7,Forehand,0.93
202,6.733333333333333,Forehand,0.88
203,6.766666666666667,Forehand,0.8
204,6.8,Forehand,0.89
205,6.833333333333333,Forehand,0.8
206,6.866666666666666,Forehand,0.51
207,6.9,Forehand,0.68
208,6.933333333333334,Forehand,0.5
209,6.966666666666667,Forehand,0.73
210,7.0,Forehand,0.75
211,7.033333333333333,Neutral,0.87
212,7.066666666666666,Neutral,0.94
213,7.1,Neutral,0.97
214,7.133333333333334,Neutral,0.95
215,7.166666666666667,Neutral,0.98
216,7.2,Neutral,0.94
217,7.233333333333333,Neutral,0.98
218,7.266666666666667,Neutral,0.97
219,7.3,Neutral,0.95
220,7.333333333333333,Neutral,0.97
221,7.366666666666666,Neutral,0.97
222,7.4,Neutral,0.88
223,7.433333333333334,Neutral,0.95
224,7.466666666666667,Neutral,0.96
225,7.5,Neutral,0.98
226,7.533333333333333,Neutral,0.98
227,7.566666666666666,Neutral,1.0
228,7.6,Neutral,1.0
229,7.633333333333334,Neutral,0.98
230,7.666666666666667,Neutral,1.0
231,7.7,Neutral,1.0
232,7.733333333333333,Neutral,0.99
233,7.766666666666667,Neutral,0.99
234,7.8,Neutral,0.96
235,7.833333333333333,Neutral,0.97
236,7.866666666666666,Neutral,0.95
237,7.9,Neutral,0.98
238,7.933333333333334,Neutral,0.99
239,7.966666666666667,Neutral,0.93
240,8.0,Forehand,0.75
241,8.033333333333333,Forehand,0.82
242,8.066666666666666,Forehand,0.93
243,8.1,Forehand,0.9
244,8.133333333333333,Forehand,0.9
245,8.166666666666666,Forehand,0.93
246,8.2,Forehand,0.91
247,8.233333333333333,Forehand,0.97
248,8.266666666666667,Forehand,0.88
249,8.3,Forehand,0.48
250,8.333333333333334,Forehand,0.44
251,8.366666666666667,Forehand,0.43
252,8.4,Forehand,0.58
253,8.433333333333334,Forehand,0.83
254,8.466666666666667,Forehand,0.77
255,8.5,Forehand,0.92
256,8.533333333333333,Forehand,0.92
257,8.566666666666666,Forehand,0.98
258,8.6,Forehand,0.98
259,8.633333333333333,Forehand,1.0
260,8.666666666666666,Forehand,0.98
261,8.7,Forehand,0.94
262,8.733333333333333,Forehand,0.97
263,8.766666666666667,Forehand,0.94
264,8.8,Forehand,0.93
